epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
100,1925.33,0.88931,1.59457,0.75725,0.98233,0,0.95856,0.86957,0.91102,0.74389,0.98351,0.86462,0.92913,0.65037,0.69997,1.06583,0.7579,0.93569,0,0.000850087,0.000850087,0.000850087
101,1945.85,0.89628,1.51428,0.81339,0.98937,0,0.95856,0.86957,0.91102,0.74389,0.98351,0.86462,0.92913,0.65037,0.69997,1.06583,0.7579,0.93569,0,0.000841835,0.000841835,0.000841835
102,1964.22,0.86789,1.46196,0.74298,0.95235,0,0.9671,0.85199,0.91158,0.74301,0.98355,0.86649,0.92409,0.65158,0.71874,1.07698,0.76541,0.93931,0,0.000833583,0.000833583,0.000833583
103,1981.39,0.94613,1.72025,0.78981,0.99191,0,0.9671,0.85199,0.91158,0.74301,0.98355,0.86649,0.92409,0.65158,0.71874,1.07698,0.76541,0.93931,0,0.000825332,0.000825332,0.000825332
104,1999.39,0.93131,1.61843,0.74043,0.98064,0,0.96759,0.86543,0.91804,0.7513,1,0.86862,0.93174,0.6711,0.71981,1.06546,0.75269,0.94027,0,0.00081708,0.00081708,0.00081708
105,2016.58,0.96444,1.71002,0.75536,0.9585,0,0.96759,0.86543,0.91804,0.7513,1,0.86862,0.93174,0.6711,0.71981,1.06546,0.75269,0.94027,0,0.000808828,0.000808828,0.000808828
106,2032.91,0.96337,1.67424,0.77024,1.01255,0,0.98381,0.88051,0.93234,0.75815,0.97921,0.86957,0.93545,0.6773,0.70425,1.08691,0.72491,0.936,0,0.000800577,0.000800577,0.000800577
107,2051.2,0.94314,1.62495,0.7756,0.94773,0,0.98381,0.88051,0.93234,0.75815,0.97921,0.86957,0.93545,0.6773,0.70425,1.08691,0.72491,0.936,0,0.000792325,0.000792325,0.000792325
108,2067.55,0.83625,1.36006,0.75417,0.97625,0,0.99106,0.88406,0.93398,0.76303,1,0.87541,0.93196,0.65965,0.7052,1.11555,0.71061,0.93496,0,0.000784073,0.000784073,0.000784073
109,2086.16,0.86338,1.4257,0.7336,0.9543,0,0.99106,0.88406,0.93398,0.76303,1,0.87541,0.93196,0.65965,0.7052,1.11555,0.71061,0.93496,0,0.000775822,0.000775822,0.000775822
110,2105.39,0.78296,1.33911,0.69761,0.95537,0,0.96809,0.87943,0.91862,0.74491,0.98428,0.90755,0.93042,0.64494,0.71806,1.1493,0.71783,0.93063,0,0.00076757,0.00076757,0.00076757
111,2122.07,0.81808,1.36095,0.73537,0.96517,0,0.96809,0.87943,0.91862,0.74491,0.98428,0.90755,0.93042,0.64494,0.71806,1.1493,0.71783,0.93063,0,0.000759318,0.000759318,0.000759318
112,2138.19,0.88868,1.59067,0.76553,0.95862,0,0.96339,0.88406,0.91336,0.74513,0.98432,0.90979,0.92896,0.64418,0.7274,1.14072,0.72711,0.93088,0,0.000751067,0.000751067,0.000751067
113,2155.07,0.77409,1.39589,0.69145,0.9489,0,0.96339,0.88406,0.91336,0.74513,0.98432,0.90979,0.92896,0.64418,0.7274,1.14072,0.72711,0.93088,0,0.000742815,0.000742815,0.000742815
114,2172.79,0.84775,1.57351,0.86942,1.04216,0,0.93652,0.88406,0.9091,0.74431,0.96722,0.91304,0.92879,0.65595,0.71227,1.10564,0.73772,0.92912,0,0.000734564,0.000734564,0.000734564
